date,temp,humidity,wind_speed,cloud_cover,aqi
2024-01-01,8.9875,88.20833333333333,4.920833333333333,39.208333333333336,138
2024-03-01,18.350000000000005,68.04166666666667,13.433333333333332,97.75,171
2024-04-01,23.10833333333333,45.791666666666664,10.049999999999999,71.29166666666667,87
2024-05-01,25.191666666666666,28.958333333333332,14.60416666666667,0.0,174
2024-06-01,36.11666666666667,23.333333333333332,13.079166666666667,41.541666666666664,147
2024-07-01,30.691666666666666,77.25,10.05,64.95833333333333,54
2024-08-01,28.162499999999998,87.04166666666667,6.579166666666666,100.0,29
2024-09-01,29.712500000000006,79.125,5.445833333333333,31.708333333333332,50
2024-10-01,29.71666666666667,65.125,7.970833333333334,1.0416666666666667,97
2024-11-01,24.916666666666668,56.458333333333336,8.758333333333335,0.0,255
2024-12-01,18.458333333333336,64.79166666666667,5.195833333333334,0.0,141
2024-01-02,8.479166666666668,87.66666666666667,5.2875,57.25,103
2024-02-02,12.879166666666663,84.875,6.570833333333333,59.375,91
2024-03-02,19.554166666666664,71.08333333333333,15.64583333333333,61.416666666666664,79
2024-04-02,23.812499999999996,40.625,8.95,59.625,151
2024-05-02,26.766666666666666,28.291666666666668,10.512499999999998,18.833333333333332,254
2024-06-02,36.045833333333334,28.416666666666668,11.166666666666666,8.125,127
2024-07-02,31.979166666666668,71.29166666666667,10.233333333333333,97.54166666666667,41
2024-08-02,29.15416666666667,82.04166666666667,9.045833333333334,73.08333333333333,42
2024-09-02,28.504166666666666,84.04166666666667,8.487499999999999,84.83333333333333,76
2024-10-02,30.24166666666667,61.0,8.9,0.0,123
2024-11-02,24.466666666666665,58.916666666666664,5.825000000000002,0.0,222
2024-12-02,18.604166666666668,65.25,5.129166666666666,0.08333333333333333,189
2024-01-03,8.483333333333333,88.70833333333333,3.9041666666666672,52.791666666666664,138
2024-04-03,25.1375,35.25,7.695833333333332,83.70833333333333,162
2024-06-03,36.75833333333333,25.75,12.987499999999999,5.125,172
2024-08-03,29.78333333333333,77.75,14.579166666666666,30.0,44
2024-09-03,28.400000000000002,80.20833333333333,9.433333333333334,62.291666666666664,77
2024-10-03,29.320833333333336,53.958333333333336,8.629166666666668,0.041666666666666664,115
2024-12-03,19.14583333333334,61.666666666666664,7.820833333333332,0.16666666666666666,144
2024-01-04,8.841666666666667,87.79166666666667,4.816666666666667,34.708333333333336,192
2024-02-04,15.887499999999998,83.66666666666667,11.100000000000001,66.625,191
2024-05-04,31.645833333333332,24.25,7.387500000000002,39.458333333333336,181
2024-06-04,36.7375,20.0,11.983333333333333,7.791666666666667,132
2024-07-04,29.275000000000002,77.66666666666667,11.750000000000002,92.0,56
2024-08-04,30.48333333333333,73.16666666666667,13.662500000000001,39.875,46
2024-10-04,29.845833333333335,50.541666666666664,9.220833333333337,3.5,122
2024-11-04,23.266666666666666,63.375,5.5874999999999995,0.0,379
2024-12-04,18.82916666666667,54.166666666666664,10.404166666666667,0.0,159
2024-01-05,10.862500000000002,86.25,3.2125,90.16666666666667,173
2024-02-05,13.270833333333336,85.95833333333333,6.870833333333334,40.333333333333336,73
2024-04-05,26.929166666666664,29.791666666666668,9.504166666666668,56.666666666666664,118
2024-05-05,31.83333333333333,24.458333333333332,11.633333333333333,3.6666666666666665,180
2024-07-05,30.124999999999996,74.625,6.383333333333333,63.333333333333336,45
2024-08-05,30.254166666666666,71.16666666666667,19.55,35.75,53
2024-09-05,27.349999999999998,85.33333333333333,5.1416666666666675,49.125,37
2024-10-05,29.583333333333332,52.041666666666664,9.370833333333334,5.75,72
2024-11-05,23.7625,65.58333333333333,7.029166666666666,0.0,220
2024-12-05,17.087499999999995,46.625,7.69583333333333,0.0,99
2024-02-06,11.512500000000003,76.625,7.383333333333332,6.25,78
2024-03-06,14.408333333333333,56.083333333333336,7.579166666666667,13.958333333333334,84
2024-04-06,25.816666666666666,28.041666666666668,9.225,0.0,155
2024-05-06,31.862500000000008,27.208333333333332,9.424999999999999,8.458333333333334,170
2024-07-06,29.216666666666672,78.25,7.049999999999997,90.125,43
2024-08-06,29.833333333333332,73.79166666666667,12.808333333333332,59.333333333333336,49
2024-09-06,27.220833333333328,86.54166666666667,6.7124999999999995,52.75,46
2024-10-06,28.76666666666667,52.0,10.233333333333333,2.0416666666666665,79
2024-11-06,23.995833333333337,70.41666666666667,5.433333333333334,0.0,249
2024-12-06,16.504166666666666,53.333333333333336,4.891666666666667,0.0,135
2024-01-07,12.075000000000003,83.20833333333333,5.208333333333334,32.5,103
2024-02-07,11.4125,73.5,9.741666666666665,50.958333333333336,162
2024-03-07,16.858333333333338,53.708333333333336,6.649999999999999,6.041666666666667,152
2024-04-07,27.137500000000006,22.666666666666668,10.054166666666669,0.0,161
2024-05-07,33.220833333333324,25.166666666666668,7.474999999999999,3.25,194
2024-07-07,28.250000000000004,81.41666666666667,6.395833333333335,93.83333333333333,33
2024-08-07,28.299999999999994,82.5,11.020833333333334,93.54166666666667,27
2024-09-07,27.325,84.625,6.445833333333334,67.25,47
2024-10-07,27.59166666666667,60.625,6.5249999999999995,0.0,82
2024-11-07,24.129166666666663,69.625,5.512500000000002,0.0,164
2024-12-07,15.500000000000002,52.458333333333336,4.945833333333334,0.0,169
2024-01-08,10.283333333333333,89.95833333333333,6.329166666666668,43.5,104
2024-02-08,12.97916666666667,66.45833333333333,13.958333333333334,4.375,105
2024-03-08,17.04583333333333,53.291666666666664,8.195833333333331,0.0,113
2024-04-08,26.716666666666665,26.041666666666668,8.720833333333335,3.9166666666666665,98
